DATAFLOW,LAST UPDATE,freq,nutrient,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:AEI_FM_USEFERT(1.0),09/03/22 23:00:00,A,N,T,AT21,2011,3213,
ESTAT:AEI_FM_USEFERT(1.0),09/03/22 23:00:00,A,N,T,AT21,2012,3737,
ESTAT:AEI_FM_USEFERT(1.0),09/03/22 23:00:00,A,N,T,AT21,2013,3156,
ESTAT:AEI_FM_USEFERT(1.0),09/03/22 23:00:00,A,N,T,AT21,2014,3433,
ESTAT:AEI_FM_USEFERT(1.0),09/03/22 23:00:00,A,N,T,AT22,2001,17669,
ESTAT:AEI_FM_USEFERT(1.0),09/03/22 23:00:00,A,N,T,AT22,2002,14753,
ESTAT:AEI_FM_USEFERT(1.0),09/03/22 23:00:00,A,N,T,AT22,2003,18504,
ESTAT:AEI_FM_USEFERT(1.0),09/03/22 23:00:00,A,N,T,AT22,2004,10123,
ESTAT:AEI_FM_USEFERT(1.0),09/03/22 23:00:00,A,N,T,AT22,2005,19661,
ESTAT:AEI_FM_USEFERT(1.0),09/03/22 23:00:00,A,N,T,AT22,2006,13948,
ESTAT:AEI_FM_USEFERT(1.0),09/03/22 23:00:00,A,N,T,AT22,2007,20022,
ESTAT:AEI_FM_USEFERT(1.0),09/03/22 23:00:00,A,N,T,AT22,2008,20139,
ESTAT:AEI_FM_USEFERT(1.0),09/03/22 23:00:00,A,N,T,AT22,2009,12457,
ESTAT:AEI_FM_USEFERT(1.0),09/03/22 23:00:00,A,N,T,AT22,2010,18138,
ESTAT:AEI_FM_USEFERT(1.0),09/03/22 23:00:00,A,N,T,AT22,2011,21574,
ESTAT:AEI_FM_USEFERT(1.0),09/03/22 23:00:00,A,N,T,AT22,2012,31777,
ESTAT:AEI_FM_USEFERT(1.0),09/03/22 23:00:00,A,N,T,AT22,2013,23791,
ESTAT:AEI_FM_USEFERT(1.0),09/03/22 23:00:00,A,N,T,AT22,2014,33218,
ESTAT:AEI_FM_USEFERT(1.0),09/03/22 23:00:00,A,N,T,AT31,2001,30992,
ESTAT:AEI_FM_USEFERT(1.0),09/03/22 23:00:00,A,N,T,AT31,2002,27769,
