"Statistic","Year","Activity","Components of Gross Value Added","UNIT","VALUE"
"Gross Value Added (GVA) at Current Market Prices","1995","Fabricated metal products, except machinery and equipment (25)","Other Taxes less Other Subsidies on Production","Euro Million","8"
"Gross Value Added (GVA) at Current Market Prices","1995","Fabricated metal products, except machinery and equipment (25)","Gross Value Added (GVA) at Basic Prices","Euro Million","362"
"Gross Value Added (GVA) at Current Market Prices","1995","Electrical equipment (27)","Compensation of Employees","Euro Million","184"
"Gross Value Added (GVA) at Current Market Prices","1995","Electrical equipment (27)","Net Operating Surplus and Net Mixed Income","Euro Million","38"
"Gross Value Added (GVA) at Current Market Prices","1995","Electrical equipment (27)","Consumption of Fixed Capital","Euro Million","29"
"Gross Value Added (GVA) at Current Market Prices","1995","Electrical equipment (27)","Other Taxes less Other Subsidies on Production","Euro Million","2"
"Gross Value Added (GVA) at Current Market Prices","1995","Electrical equipment (27)","Gross Value Added (GVA) at Basic Prices","Euro Million","252"
"Gross Value Added (GVA) at Current Market Prices","1995","Motor vehicles, trailers and semi-trailers (29)","Compensation of Employees","Euro Million","112"
"Gross Value Added (GVA) at Current Market Prices","1995","Motor vehicles, trailers and semi-trailers (29)","Net Operating Surplus and Net Mixed Income","Euro Million","14"
"Gross Value Added (GVA) at Current Market Prices","1995","Motor vehicles, trailers and semi-trailers (29)","Consumption of Fixed Capital","Euro Million","12"
"Gross Value Added (GVA) at Current Market Prices","1995","Motor vehicles, trailers and semi-trailers (29)","Other Taxes less Other Subsidies on Production","Euro Million","3"
"Gross Value Added (GVA) at Current Market Prices","1995","Motor vehicles, trailers and semi-trailers (29)","Gross Value Added (GVA) at Basic Prices","Euro Million","141"
"Gross Value Added (GVA) at Current Market Prices","1995","Other transport equipment (30)","Compensation of Employees","Euro Million","118"
"Gross Value Added (GVA) at Current Market Prices","1995","Other transport equipment (30)","Net Operating Surplus and Net Mixed Income","Euro Million","-6"
"Gross Value Added (GVA) at Current Market Prices","1995","Other transport equipment (30)","Consumption of Fixed Capital","Euro Million","14"
"Gross Value Added (GVA) at Current Market Prices","1995","Other transport equipment (30)","Other Taxes less Other Subsidies on Production","Euro Million","2"
"Gross Value Added (GVA) at Current Market Prices","1995","Other transport equipment (30)","Gross Value Added (GVA) at Basic Prices","Euro Million","129"
"Gross Value Added (GVA) at Current Market Prices","1995","Electricity, gas, steam and air conditioning supply (35)","Compensation of Employees","Euro Million","363"
"Gross Value Added (GVA) at Current Market Prices","1995","Electricity, gas, steam and air conditioning supply (35)","Net Operating Surplus and Net Mixed Income","Euro Million","291"
"Gross Value Added (GVA) at Current Market Prices","1995","Electricity, gas, steam and air conditioning supply (35)","Consumption of Fixed Capital","Euro Million","206"
"Gross Value Added (GVA) at Current Market Prices","1995","Electricity, gas, steam and air conditioning supply (35)","Other Taxes less Other Subsidies on Production","Euro Million","50"
"Gross Value Added (GVA) at Current Market Prices","1995","Electricity, gas, steam and air conditioning supply (35)","Gross Value Added (GVA) at Basic Prices","Euro Million","910"
"Gross Value Added (GVA) at Current Market Prices","1995","Water collection, treatment and supply (36)","Compensation of Employees","Euro Million","39"
"Gross Value Added (GVA) at Current Market Prices","1995","Water collection, treatment and supply (36)","Net Operating Surplus and Net Mixed Income","Euro Million","-2"
"Gross Value Added (GVA) at Current Market Prices","1995","Water collection, treatment and supply (36)","Consumption of Fixed Capital","Euro Million","43"
"Gross Value Added (GVA) at Current Market Prices","1995","Water collection, treatment and supply (36)","Other Taxes less Other Subsidies on Production","Euro Million","37"
"Gross Value Added (GVA) at Current Market Prices","1995","Water collection, treatment and supply (36)","Gross Value Added (GVA) at Basic Prices","Euro Million","117"
"Gross Value Added (GVA) at Current Market Prices","1995","Sewerage, waste management and remediation activities (37 to 39)","Compensation of Employees","Euro Million","111"
"Gross Value Added (GVA) at Current Market Prices","1995","Sewerage, waste management and remediation activities (37 to 39)","Net Operating Surplus and Net Mixed Income","Euro Million","35"
"Gross Value Added (GVA) at Current Market Prices","1995","Sewerage, waste management and remediation activities (37 to 39)","Consumption of Fixed Capital","Euro Million","26"
"Gross Value Added (GVA) at Current Market Prices","1995","Sewerage, waste management and remediation activities (37 to 39)","Other Taxes less Other Subsidies on Production","Euro Million","81"
"Gross Value Added (GVA) at Current Market Prices","1995","Sewerage, waste management and remediation activities (37 to 39)","Gross Value Added (GVA) at Basic Prices","Euro Million","254"
"Gross Value Added (GVA) at Current Market Prices","1995","Construction (41 to 43)","Compensation of Employees","Euro Million","1784"
"Gross Value Added (GVA) at Current Market Prices","1995","Construction (41 to 43)","Net Operating Surplus and Net Mixed Income","Euro Million","921"
"Gross Value Added (GVA) at Current Market Prices","1995","Construction (41 to 43)","Consumption of Fixed Capital","Euro Million","205"
"Gross Value Added (GVA) at Current Market Prices","1995","Construction (41 to 43)","Other Taxes less Other Subsidies on Production","Euro Million","13"
"Gross Value Added (GVA) at Current Market Prices","1995","Construction (41 to 43)","Gross Value Added (GVA) at Basic Prices","Euro Million","2923"
"Gross Value Added (GVA) at Current Market Prices","1995","Motor trades (45)","Compensation of Employees","Euro Million","343"
"Gross Value Added (GVA) at Current Market Prices","1995","Motor trades (45)","Net Operating Surplus and Net Mixed Income","Euro Million","209"
"Gross Value Added (GVA) at Current Market Prices","1995","Motor trades (45)","Consumption of Fixed Capital","Euro Million","87"
"Gross Value Added (GVA) at Current Market Prices","1995","Motor trades (45)","Other Taxes less Other Subsidies on Production","Euro Million","6"
"Gross Value Added (GVA) at Current Market Prices","1995","Motor trades (45)","Gross Value Added (GVA) at Basic Prices","Euro Million","645"
"Gross Value Added (GVA) at Current Market Prices","1995","Wholesale trade (46)","Compensation of Employees","Euro Million","913"
"Gross Value Added (GVA) at Current Market Prices","1995","Wholesale trade (46)","Net Operating Surplus and Net Mixed Income","Euro Million","912"
"Gross Value Added (GVA) at Current Market Prices","1995","Wholesale trade (46)","Consumption of Fixed Capital","Euro Million","101"
