"Statistic","Year","Activity","Components of Gross Value Added","UNIT","VALUE"
"Gross Value Added (GVA) at Current Market Prices","2004","Water collection, treatment and supply (36)","Other Taxes less Other Subsidies on Production","Euro Million","75"
"Gross Value Added (GVA) at Current Market Prices","2004","Water collection, treatment and supply (36)","Gross Value Added (GVA) at Basic Prices","Euro Million","326"
"Gross Value Added (GVA) at Current Market Prices","2004","Sewerage, waste management and remediation activities (37 to 39)","Compensation of Employees","Euro Million","264"
"Gross Value Added (GVA) at Current Market Prices","2004","Sewerage, waste management and remediation activities (37 to 39)","Net Operating Surplus and Net Mixed Income","Euro Million","111"
"Gross Value Added (GVA) at Current Market Prices","2004","Sewerage, waste management and remediation activities (37 to 39)","Consumption of Fixed Capital","Euro Million","74"
"Gross Value Added (GVA) at Current Market Prices","2004","Sewerage, waste management and remediation activities (37 to 39)","Other Taxes less Other Subsidies on Production","Euro Million","133"
"Gross Value Added (GVA) at Current Market Prices","2004","Sewerage, waste management and remediation activities (37 to 39)","Gross Value Added (GVA) at Basic Prices","Euro Million","583"
"Gross Value Added (GVA) at Current Market Prices","2004","Construction (41 to 43)","Compensation of Employees","Euro Million","7068"
"Gross Value Added (GVA) at Current Market Prices","2004","Construction (41 to 43)","Net Operating Surplus and Net Mixed Income","Euro Million","4452"
"Gross Value Added (GVA) at Current Market Prices","2004","Construction (41 to 43)","Consumption of Fixed Capital","Euro Million","409"
"Gross Value Added (GVA) at Current Market Prices","2004","Construction (41 to 43)","Other Taxes less Other Subsidies on Production","Euro Million","18"
"Gross Value Added (GVA) at Current Market Prices","2004","Construction (41 to 43)","Gross Value Added (GVA) at Basic Prices","Euro Million","11947"
"Gross Value Added (GVA) at Current Market Prices","2004","Motor trades (45)","Compensation of Employees","Euro Million","791"
"Gross Value Added (GVA) at Current Market Prices","2004","Motor trades (45)","Net Operating Surplus and Net Mixed Income","Euro Million","318"
"Gross Value Added (GVA) at Current Market Prices","2004","Motor trades (45)","Consumption of Fixed Capital","Euro Million","282"
"Gross Value Added (GVA) at Current Market Prices","2004","Motor trades (45)","Other Taxes less Other Subsidies on Production","Euro Million","10"
"Gross Value Added (GVA) at Current Market Prices","2004","Motor trades (45)","Gross Value Added (GVA) at Basic Prices","Euro Million","1401"
"Gross Value Added (GVA) at Current Market Prices","2004","Wholesale trade (46)","Compensation of Employees","Euro Million","1618"
"Gross Value Added (GVA) at Current Market Prices","2004","Wholesale trade (46)","Net Operating Surplus and Net Mixed Income","Euro Million","3635"
"Gross Value Added (GVA) at Current Market Prices","2004","Wholesale trade (46)","Consumption of Fixed Capital","Euro Million","384"
"Gross Value Added (GVA) at Current Market Prices","2004","Wholesale trade (46)","Other Taxes less Other Subsidies on Production","Euro Million","42"
"Gross Value Added (GVA) at Current Market Prices","2004","Wholesale trade (46)","Gross Value Added (GVA) at Basic Prices","Euro Million","5679"
"Gross Value Added (GVA) at Current Market Prices","2004","Retail trade (47)","Compensation of Employees","Euro Million","3519"
"Gross Value Added (GVA) at Current Market Prices","2004","Retail trade (47)","Net Operating Surplus and Net Mixed Income","Euro Million","1990"
"Gross Value Added (GVA) at Current Market Prices","2004","Retail trade (47)","Consumption of Fixed Capital","Euro Million","537"
"Gross Value Added (GVA) at Current Market Prices","2004","Retail trade (47)","Other Taxes less Other Subsidies on Production","Euro Million","45"
"Gross Value Added (GVA) at Current Market Prices","2004","Retail trade (47)","Gross Value Added (GVA) at Basic Prices","Euro Million","6091"
"Gross Value Added (GVA) at Current Market Prices","2004","Land transport (49)","Compensation of Employees","Euro Million","1302"
"Gross Value Added (GVA) at Current Market Prices","2004","Land transport (49)","Net Operating Surplus and Net Mixed Income","Euro Million","631"
"Gross Value Added (GVA) at Current Market Prices","2004","Land transport (49)","Consumption of Fixed Capital","Euro Million","235"
"Gross Value Added (GVA) at Current Market Prices","2004","Land transport (49)","Other Taxes less Other Subsidies on Production","Euro Million","87"
"Gross Value Added (GVA) at Current Market Prices","2004","Land transport (49)","Gross Value Added (GVA) at Basic Prices","Euro Million","2255"
"Gross Value Added (GVA) at Current Market Prices","2004","Water transport (50)","Compensation of Employees","Euro Million","214"
"Gross Value Added (GVA) at Current Market Prices","2004","Water transport (50)","Net Operating Surplus and Net Mixed Income","Euro Million","-49"
"Gross Value Added (GVA) at Current Market Prices","2004","Water transport (50)","Consumption of Fixed Capital","Euro Million","78"
"Gross Value Added (GVA) at Current Market Prices","2004","Water transport (50)","Other Taxes less Other Subsidies on Production","Euro Million","10"
"Gross Value Added (GVA) at Current Market Prices","2004","Water transport (50)","Gross Value Added (GVA) at Basic Prices","Euro Million","252"
"Gross Value Added (GVA) at Current Market Prices","2004","Air transport, Warehousing and support activities for transportation (51-52)","Compensation of Employees","Euro Million","873"
"Gross Value Added (GVA) at Current Market Prices","2004","Air transport, Warehousing and support activities for transportation (51-52)","Net Operating Surplus and Net Mixed Income","Euro Million","173"
"Gross Value Added (GVA) at Current Market Prices","2004","Air transport, Warehousing and support activities for transportation (51-52)","Consumption of Fixed Capital","Euro Million","684"
"Gross Value Added (GVA) at Current Market Prices","2004","Air transport, Warehousing and support activities for transportation (51-52)","Other Taxes less Other Subsidies on Production","Euro Million","47"
"Gross Value Added (GVA) at Current Market Prices","2004","Air transport, Warehousing and support activities for transportation (51-52)","Gross Value Added (GVA) at Basic Prices","Euro Million","1777"
"Gross Value Added (GVA) at Current Market Prices","2004","Postal and courier activities (53)","Compensation of Employees","Euro Million","543"
"Gross Value Added (GVA) at Current Market Prices","2004","Postal and courier activities (53)","Net Operating Surplus and Net Mixed Income","Euro Million","42"
"Gross Value Added (GVA) at Current Market Prices","2004","Postal and courier activities (53)","Consumption of Fixed Capital","Euro Million","69"
"Gross Value Added (GVA) at Current Market Prices","2004","Postal and courier activities (53)","Other Taxes less Other Subsidies on Production","Euro Million","26"
"Gross Value Added (GVA) at Current Market Prices","2004","Postal and courier activities (53)","Gross Value Added (GVA) at Basic Prices","Euro Million","681"
"Gross Value Added (GVA) at Current Market Prices","2004","Accommodation and food service activities (55,56)","Compensation of Employees","Euro Million","2040"
"Gross Value Added (GVA) at Current Market Prices","2004","Accommodation and food service activities (55,56)","Net Operating Surplus and Net Mixed Income","Euro Million","508"
"Gross Value Added (GVA) at Current Market Prices","2004","Accommodation and food service activities (55,56)","Consumption of Fixed Capital","Euro Million","569"
"Gross Value Added (GVA) at Current Market Prices","2004","Accommodation and food service activities (55,56)","Other Taxes less Other Subsidies on Production","Euro Million","61"
"Gross Value Added (GVA) at Current Market Prices","2004","Accommodation and food service activities (55,56)","Gross Value Added (GVA) at Basic Prices","Euro Million","3178"
"Gross Value Added (GVA) at Current Market Prices","2004","Publishing, audiovisual and broadcasting services (58 to 60)","Compensation of Employees","Euro Million","533"
"Gross Value Added (GVA) at Current Market Prices","2004","Publishing, audiovisual and broadcasting services (58 to 60)","Net Operating Surplus and Net Mixed Income","Euro Million","2639"
"Gross Value Added (GVA) at Current Market Prices","2004","Publishing, audiovisual and broadcasting services (58 to 60)","Consumption of Fixed Capital","Euro Million","655"
"Gross Value Added (GVA) at Current Market Prices","2004","Publishing, audiovisual and broadcasting services (58 to 60)","Other Taxes less Other Subsidies on Production","Euro Million","16"
"Gross Value Added (GVA) at Current Market Prices","2004","Publishing, audiovisual and broadcasting services (58 to 60)","Gross Value Added (GVA) at Basic Prices","Euro Million","3843"
"Gross Value Added (GVA) at Current Market Prices","2004","Telecommunications (61)","Compensation of Employees","Euro Million","842"
"Gross Value Added (GVA) at Current Market Prices","2004","Telecommunications (61)","Net Operating Surplus and Net Mixed Income","Euro Million","1289"
"Gross Value Added (GVA) at Current Market Prices","2004","Telecommunications (61)","Consumption of Fixed Capital","Euro Million","283"
"Gross Value Added (GVA) at Current Market Prices","2004","Telecommunications (61)","Other Taxes less Other Subsidies on Production","Euro Million","27"
"Gross Value Added (GVA) at Current Market Prices","2004","Telecommunications (61)","Gross Value Added (GVA) at Basic Prices","Euro Million","2440"
"Gross Value Added (GVA) at Current Market Prices","2004","Computer programming, consultancy and Information service activities (62,63)","Compensation of Employees","Euro Million","1322"
"Gross Value Added (GVA) at Current Market Prices","2004","Computer programming, consultancy and Information service activities (62,63)","Net Operating Surplus and Net Mixed Income","Euro Million","1455"
"Gross Value Added (GVA) at Current Market Prices","2004","Computer programming, consultancy and Information service activities (62,63)","Consumption of Fixed Capital","Euro Million","393"
"Gross Value Added (GVA) at Current Market Prices","2004","Computer programming, consultancy and Information service activities (62,63)","Other Taxes less Other Subsidies on Production","Euro Million","43"
"Gross Value Added (GVA) at Current Market Prices","2004","Computer programming, consultancy and Information service activities (62,63)","Gross Value Added (GVA) at Basic Prices","Euro Million","3212"
"Gross Value Added (GVA) at Current Market Prices","2004","Financial service activities, except insurance and pension funding (64)","Compensation of Employees","Euro Million","2928"
"Gross Value Added (GVA) at Current Market Prices","2004","Financial service activities, except insurance and pension funding (64)","Net Operating Surplus and Net Mixed Income","Euro Million","4348"
"Gross Value Added (GVA) at Current Market Prices","2004","Financial service activities, except insurance and pension funding (64)","Consumption of Fixed Capital","Euro Million","352"
"Gross Value Added (GVA) at Current Market Prices","2004","Financial service activities, except insurance and pension funding (64)","Other Taxes less Other Subsidies on Production","Euro Million","40"
"Gross Value Added (GVA) at Current Market Prices","2004","Financial service activities, except insurance and pension funding (64)","Gross Value Added (GVA) at Basic Prices","Euro Million","7668"
"Gross Value Added (GVA) at Current Market Prices","2004","Insurance, reinsurance and pension funding, except compulsory social security (65)","Compensation of Employees","Euro Million","1167"
"Gross Value Added (GVA) at Current Market Prices","2004","Insurance, reinsurance and pension funding, except compulsory social security (65)","Net Operating Surplus and Net Mixed Income","Euro Million","2318"
"Gross Value Added (GVA) at Current Market Prices","2004","Insurance, reinsurance and pension funding, except compulsory social security (65)","Consumption of Fixed Capital","Euro Million","160"
"Gross Value Added (GVA) at Current Market Prices","2004","Insurance, reinsurance and pension funding, except compulsory social security (65)","Other Taxes less Other Subsidies on Production","Euro Million","19"
"Gross Value Added (GVA) at Current Market Prices","2004","Insurance, reinsurance and pension funding, except compulsory social security (65)","Gross Value Added (GVA) at Basic Prices","Euro Million","3665"
"Gross Value Added (GVA) at Current Market Prices","2004","Activities auxiliary to financial services and insurance activities (66)","Compensation of Employees","Euro Million","106"
"Gross Value Added (GVA) at Current Market Prices","2004","Activities auxiliary to financial services and insurance activities (66)","Net Operating Surplus and Net Mixed Income","Euro Million","1223"
"Gross Value Added (GVA) at Current Market Prices","2004","Activities auxiliary to financial services and insurance activities (66)","Consumption of Fixed Capital","Euro Million","160"
"Gross Value Added (GVA) at Current Market Prices","2004","Activities auxiliary to financial services and insurance activities (66)","Other Taxes less Other Subsidies on Production","Euro Million","8"
"Gross Value Added (GVA) at Current Market Prices","2004","Activities auxiliary to financial services and insurance activities (66)","Gross Value Added (GVA) at Basic Prices","Euro Million","1497"
"Gross Value Added (GVA) at Current Market Prices","2004","Real estate activities (68)","Compensation of Employees","Euro Million","165"
"Gross Value Added (GVA) at Current Market Prices","2004","Real estate activities (68)","Net Operating Surplus and Net Mixed Income","Euro Million","4555"
"Gross Value Added (GVA) at Current Market Prices","2004","Real estate activities (68)","Consumption of Fixed Capital","Euro Million","4965"
"Gross Value Added (GVA) at Current Market Prices","2004","Real estate activities (68)","Other Taxes less Other Subsidies on Production","Euro Million","51"
"Gross Value Added (GVA) at Current Market Prices","2004","Real estate activities (68)","Gross Value Added (GVA) at Basic Prices","Euro Million","9735"
"Gross Value Added (GVA) at Current Market Prices","2004","Legal and accounting activities; head offices and management consultancy activities (69,70)","Compensation of Employees","Euro Million","1267"
"Gross Value Added (GVA) at Current Market Prices","2004","Legal and accounting activities; head offices and management consultancy activities (69,70)","Net Operating Surplus and Net Mixed Income","Euro Million","1000"
"Gross Value Added (GVA) at Current Market Prices","2004","Legal and accounting activities; head offices and management consultancy activities (69,70)","Consumption of Fixed Capital","Euro Million","117"
"Gross Value Added (GVA) at Current Market Prices","2004","Legal and accounting activities; head offices and management consultancy activities (69,70)","Other Taxes less Other Subsidies on Production","Euro Million","6"
"Gross Value Added (GVA) at Current Market Prices","2004","Legal and accounting activities; head offices and management consultancy activities (69,70)","Gross Value Added (GVA) at Basic Prices","Euro Million","2389"
"Gross Value Added (GVA) at Current Market Prices","2004","Architectural and engineering activities; technical testing and analysis (71)","Compensation of Employees","Euro Million","1024"
"Gross Value Added (GVA) at Current Market Prices","2004","Architectural and engineering activities; technical testing and analysis (71)","Net Operating Surplus and Net Mixed Income","Euro Million","495"
"Gross Value Added (GVA) at Current Market Prices","2004","Architectural and engineering activities; technical testing and analysis (71)","Consumption of Fixed Capital","Euro Million","78"
"Gross Value Added (GVA) at Current Market Prices","2004","Architectural and engineering activities; technical testing and analysis (71)","Other Taxes less Other Subsidies on Production","Euro Million","4"
"Gross Value Added (GVA) at Current Market Prices","2004","Architectural and engineering activities; technical testing and analysis (71)","Gross Value Added (GVA) at Basic Prices","Euro Million","1601"
"Gross Value Added (GVA) at Current Market Prices","2004","Scientific research and development (72)","Compensation of Employees","Euro Million","126"
"Gross Value Added (GVA) at Current Market Prices","2004","Scientific research and development (72)","Net Operating Surplus and Net Mixed Income","Euro Million","131"
"Gross Value Added (GVA) at Current Market Prices","2004","Scientific research and development (72)","Consumption of Fixed Capital","Euro Million","98"
"Gross Value Added (GVA) at Current Market Prices","2004","Scientific research and development (72)","Other Taxes less Other Subsidies on Production","Euro Million","-10"
"Gross Value Added (GVA) at Current Market Prices","2004","Scientific research and development (72)","Gross Value Added (GVA) at Basic Prices","Euro Million","346"
"Gross Value Added (GVA) at Current Market Prices","2004","Advertising and market research (73)","Compensation of Employees","Euro Million","162"
"Gross Value Added (GVA) at Current Market Prices","2004","Advertising and market research (73)","Net Operating Surplus and Net Mixed Income","Euro Million","29"
"Gross Value Added (GVA) at Current Market Prices","2004","Advertising and market research (73)","Consumption of Fixed Capital","Euro Million","66"
"Gross Value Added (GVA) at Current Market Prices","2004","Advertising and market research (73)","Other Taxes less Other Subsidies on Production","Euro Million","-8"
"Gross Value Added (GVA) at Current Market Prices","2004","Advertising and market research (73)","Gross Value Added (GVA) at Basic Prices","Euro Million","249"
"Gross Value Added (GVA) at Current Market Prices","2004","Other professional, scientific, technical and veterinary activities (74 to 75)","Compensation of Employees","Euro Million","807"
"Gross Value Added (GVA) at Current Market Prices","2004","Other professional, scientific, technical and veterinary activities (74 to 75)","Net Operating Surplus and Net Mixed Income","Euro Million","407"
"Gross Value Added (GVA) at Current Market Prices","2004","Other professional, scientific, technical and veterinary activities (74 to 75)","Consumption of Fixed Capital","Euro Million","71"
"Gross Value Added (GVA) at Current Market Prices","2004","Other professional, scientific, technical and veterinary activities (74 to 75)","Other Taxes less Other Subsidies on Production","Euro Million","8"
"Gross Value Added (GVA) at Current Market Prices","2004","Other professional, scientific, technical and veterinary activities (74 to 75)","Gross Value Added (GVA) at Basic Prices","Euro Million","1293"
"Gross Value Added (GVA) at Current Market Prices","2004","Renting and leasing activities (77)","Compensation of Employees","Euro Million","181"
"Gross Value Added (GVA) at Current Market Prices","2004","Renting and leasing activities (77)","Net Operating Surplus and Net Mixed Income","Euro Million","874"
"Gross Value Added (GVA) at Current Market Prices","2004","Renting and leasing activities (77)","Consumption of Fixed Capital","Euro Million","730"
"Gross Value Added (GVA) at Current Market Prices","2004","Renting and leasing activities (77)","Other Taxes less Other Subsidies on Production","Euro Million","9"
"Gross Value Added (GVA) at Current Market Prices","2004","Renting and leasing activities (77)","Gross Value Added (GVA) at Basic Prices","Euro Million","1793"
"Gross Value Added (GVA) at Current Market Prices","2004","Employment activities (78)","Compensation of Employees","Euro Million","184"
"Gross Value Added (GVA) at Current Market Prices","2004","Employment activities (78)","Net Operating Surplus and Net Mixed Income","Euro Million","-22"
"Gross Value Added (GVA) at Current Market Prices","2004","Employment activities (78)","Consumption of Fixed Capital","Euro Million","94"
"Gross Value Added (GVA) at Current Market Prices","2004","Employment activities (78)","Other Taxes less Other Subsidies on Production","Euro Million","-50"
"Gross Value Added (GVA) at Current Market Prices","2004","Employment activities (78)","Gross Value Added (GVA) at Basic Prices","Euro Million","206"
"Gross Value Added (GVA) at Current Market Prices","2004","Travel agency, tour operator and other reservation service and related activities (79)","Compensation of Employees","Euro Million","195"
"Gross Value Added (GVA) at Current Market Prices","2004","Travel agency, tour operator and other reservation service and related activities (79)","Net Operating Surplus and Net Mixed Income","Euro Million","-21"
"Gross Value Added (GVA) at Current Market Prices","2004","Travel agency, tour operator and other reservation service and related activities (79)","Consumption of Fixed Capital","Euro Million","95"
"Gross Value Added (GVA) at Current Market Prices","2004","Travel agency, tour operator and other reservation service and related activities (79)","Other Taxes less Other Subsidies on Production","Euro Million","1"
"Gross Value Added (GVA) at Current Market Prices","2004","Travel agency, tour operator and other reservation service and related activities (79)","Gross Value Added (GVA) at Basic Prices","Euro Million","271"
"Gross Value Added (GVA) at Current Market Prices","2004","Administrative and support service activities (80 to 82)","Compensation of Employees","Euro Million","903"
"Gross Value Added (GVA) at Current Market Prices","2004","Administrative and support service activities (80 to 82)","Net Operating Surplus and Net Mixed Income","Euro Million","260"
"Gross Value Added (GVA) at Current Market Prices","2004","Administrative and support service activities (80 to 82)","Consumption of Fixed Capital","Euro Million","210"
"Gross Value Added (GVA) at Current Market Prices","2004","Administrative and support service activities (80 to 82)","Other Taxes less Other Subsidies on Production","Euro Million","7"
"Gross Value Added (GVA) at Current Market Prices","2004","Administrative and support service activities (80 to 82)","Gross Value Added (GVA) at Basic Prices","Euro Million","1380"
"Gross Value Added (GVA) at Current Market Prices","2004","Public administration and defence; compulsory social security (84)","Compensation of Employees","Euro Million","4569"
"Gross Value Added (GVA) at Current Market Prices","2004","Public administration and defence; compulsory social security (84)","Net Operating Surplus and Net Mixed Income","Euro Million","99"
"Gross Value Added (GVA) at Current Market Prices","2004","Public administration and defence; compulsory social security (84)","Consumption of Fixed Capital","Euro Million","1087"
"Gross Value Added (GVA) at Current Market Prices","2004","Public administration and defence; compulsory social security (84)","Other Taxes less Other Subsidies on Production","Euro Million","5"
"Gross Value Added (GVA) at Current Market Prices","2004","Public administration and defence; compulsory social security (84)","Gross Value Added (GVA) at Basic Prices","Euro Million","5761"
"Gross Value Added (GVA) at Current Market Prices","2004","Education (85)","Compensation of Employees","Euro Million","5388"
"Gross Value Added (GVA) at Current Market Prices","2004","Education (85)","Net Operating Surplus and Net Mixed Income","Euro Million","293"
"Gross Value Added (GVA) at Current Market Prices","2004","Education (85)","Consumption of Fixed Capital","Euro Million","645"
"Gross Value Added (GVA) at Current Market Prices","2004","Education (85)","Other Taxes less Other Subsidies on Production","Euro Million","-8"
"Gross Value Added (GVA) at Current Market Prices","2004","Education (85)","Gross Value Added (GVA) at Basic Prices","Euro Million","6319"
"Gross Value Added (GVA) at Current Market Prices","2004","Human health activities(86)","Compensation of Employees","Euro Million","6074"
"Gross Value Added (GVA) at Current Market Prices","2004","Human health activities(86)","Net Operating Surplus and Net Mixed Income","Euro Million","740"
"Gross Value Added (GVA) at Current Market Prices","2004","Human health activities(86)","Consumption of Fixed Capital","Euro Million","390"
"Gross Value Added (GVA) at Current Market Prices","2004","Human health activities(86)","Other Taxes less Other Subsidies on Production","Euro Million","11"
"Gross Value Added (GVA) at Current Market Prices","2004","Human health activities(86)","Gross Value Added (GVA) at Basic Prices","Euro Million","7215"
"Gross Value Added (GVA) at Current Market Prices","2004","Social work activities (87-88)","Compensation of Employees","Euro Million","1307"
"Gross Value Added (GVA) at Current Market Prices","2004","Social work activities (87-88)","Net Operating Surplus and Net Mixed Income","Euro Million","353"
"Gross Value Added (GVA) at Current Market Prices","2004","Social work activities (87-88)","Consumption of Fixed Capital","Euro Million","16"
"Gross Value Added (GVA) at Current Market Prices","2004","Social work activities (87-88)","Other Taxes less Other Subsidies on Production","Euro Million","0"
"Gross Value Added (GVA) at Current Market Prices","2004","Social work activities (87-88)","Gross Value Added (GVA) at Basic Prices","Euro Million","1677"
"Gross Value Added (GVA) at Current Market Prices","2004","Arts, entertainment and recreation (90 to 92)","Compensation of Employees","Euro Million","386"
"Gross Value Added (GVA) at Current Market Prices","2004","Arts, entertainment and recreation (90 to 92)","Net Operating Surplus and Net Mixed Income","Euro Million","706"
"Gross Value Added (GVA) at Current Market Prices","2004","Arts, entertainment and recreation (90 to 92)","Consumption of Fixed Capital","Euro Million","184"
"Gross Value Added (GVA) at Current Market Prices","2004","Arts, entertainment and recreation (90 to 92)","Other Taxes less Other Subsidies on Production","Euro Million","0"
"Gross Value Added (GVA) at Current Market Prices","2004","Arts, entertainment and recreation (90 to 92)","Gross Value Added (GVA) at Basic Prices","Euro Million","1278"
"Gross Value Added (GVA) at Current Market Prices","2004","Sports activities and amusement and recreation activities (93)","Compensation of Employees","Euro Million","350"
"Gross Value Added (GVA) at Current Market Prices","2004","Sports activities and amusement and recreation activities (93)","Net Operating Surplus and Net Mixed Income","Euro Million","152"
"Gross Value Added (GVA) at Current Market Prices","2004","Sports activities and amusement and recreation activities (93)","Consumption of Fixed Capital","Euro Million","93"
"Gross Value Added (GVA) at Current Market Prices","2004","Sports activities and amusement and recreation activities (93)","Other Taxes less Other Subsidies on Production","Euro Million","6"
"Gross Value Added (GVA) at Current Market Prices","2004","Sports activities and amusement and recreation activities (93)","Gross Value Added (GVA) at Basic Prices","Euro Million","601"
"Gross Value Added (GVA) at Current Market Prices","2004","Activities of membership organisations (94)","Compensation of Employees","Euro Million","270"
"Gross Value Added (GVA) at Current Market Prices","2004","Activities of membership organisations (94)","Net Operating Surplus and Net Mixed Income","Euro Million","7"
"Gross Value Added (GVA) at Current Market Prices","2004","Activities of membership organisations (94)","Consumption of Fixed Capital","Euro Million","25"
"Gross Value Added (GVA) at Current Market Prices","2004","Activities of membership organisations (94)","Other Taxes less Other Subsidies on Production","Euro Million","1"
"Gross Value Added (GVA) at Current Market Prices","2004","Activities of membership organisations (94)","Gross Value Added (GVA) at Basic Prices","Euro Million","302"
"Gross Value Added (GVA) at Current Market Prices","2004","Repair of computers and personal and household goods (95)","Compensation of Employees","Euro Million","47"
"Gross Value Added (GVA) at Current Market Prices","2004","Repair of computers and personal and household goods (95)","Net Operating Surplus and Net Mixed Income","Euro Million","-26"
"Gross Value Added (GVA) at Current Market Prices","2004","Repair of computers and personal and household goods (95)","Consumption of Fixed Capital","Euro Million","21"
"Gross Value Added (GVA) at Current Market Prices","2004","Repair of computers and personal and household goods (95)","Other Taxes less Other Subsidies on Production","Euro Million","0"
"Gross Value Added (GVA) at Current Market Prices","2004","Repair of computers and personal and household goods (95)","Gross Value Added (GVA) at Basic Prices","Euro Million","42"
"Gross Value Added (GVA) at Current Market Prices","2004","Other personal service activities (96)","Compensation of Employees","Euro Million","429"
"Gross Value Added (GVA) at Current Market Prices","2004","Other personal service activities (96)","Net Operating Surplus and Net Mixed Income","Euro Million","224"
"Gross Value Added (GVA) at Current Market Prices","2004","Other personal service activities (96)","Consumption of Fixed Capital","Euro Million","30"
"Gross Value Added (GVA) at Current Market Prices","2004","Other personal service activities (96)","Other Taxes less Other Subsidies on Production","Euro Million","3"
"Gross Value Added (GVA) at Current Market Prices","2004","Other personal service activities (96)","Gross Value Added (GVA) at Basic Prices","Euro Million","686"
"Gross Value Added (GVA) at Current Market Prices","2004","Activities of households as employers; producing activities of households for own use (97,98)","Compensation of Employees","Euro Million","93"
"Gross Value Added (GVA) at Current Market Prices","2004","Activities of households as employers; producing activities of households for own use (97,98)","Net Operating Surplus and Net Mixed Income","Euro Million","21"
"Gross Value Added (GVA) at Current Market Prices","2004","Activities of households as employers; producing activities of households for own use (97,98)","Consumption of Fixed Capital","Euro Million","0"
"Gross Value Added (GVA) at Current Market Prices","2004","Activities of households as employers; producing activities of households for own use (97,98)","Other Taxes less Other Subsidies on Production","Euro Million","0"
"Gross Value Added (GVA) at Current Market Prices","2004","Activities of households as employers; producing activities of households for own use (97,98)","Gross Value Added (GVA) at Basic Prices","Euro Million","114"
"Gross Value Added (GVA) at Current Market Prices","2004","Activities of extraterritorial organisations and bodies (99)","Compensation of Employees","Euro Million",""
"Gross Value Added (GVA) at Current Market Prices","2004","Activities of extraterritorial organisations and bodies (99)","Net Operating Surplus and Net Mixed Income","Euro Million",""
"Gross Value Added (GVA) at Current Market Prices","2004","Activities of extraterritorial organisations and bodies (99)","Consumption of Fixed Capital","Euro Million",""
"Gross Value Added (GVA) at Current Market Prices","2004","Activities of extraterritorial organisations and bodies (99)","Other Taxes less Other Subsidies on Production","Euro Million",""
"Gross Value Added (GVA) at Current Market Prices","2004","Activities of extraterritorial organisations and bodies (99)","Gross Value Added (GVA) at Basic Prices","Euro Million",""
"Gross Value Added (GVA) at Current Market Prices","2004","NACE economic sectors (01-98)","Compensation of Employees","Euro Million","59394"
"Gross Value Added (GVA) at Current Market Prices","2004","NACE economic sectors (01-98)","Net Operating Surplus and Net Mixed Income","Euro Million","58394"
"Gross Value Added (GVA) at Current Market Prices","2004","NACE economic sectors (01-98)","Consumption of Fixed Capital","Euro Million","19563"
"Gross Value Added (GVA) at Current Market Prices","2004","NACE economic sectors (01-98)","Other Taxes less Other Subsidies on Production","Euro Million","79"
"Gross Value Added (GVA) at Current Market Prices","2004","NACE economic sectors (01-98)","Gross Value Added (GVA) at Basic Prices","Euro Million","137429"
"Gross Value Added (GVA) at Current Market Prices","2005","Crop and animal production, hunting and related service activities (01)","Compensation of Employees","Euro Million","454"
"Gross Value Added (GVA) at Current Market Prices","2005","Crop and animal production, hunting and related service activities (01)","Net Operating Surplus and Net Mixed Income","Euro Million","2522"
"Gross Value Added (GVA) at Current Market Prices","2005","Crop and animal production, hunting and related service activities (01)","Consumption of Fixed Capital","Euro Million","694"
"Gross Value Added (GVA) at Current Market Prices","2005","Crop and animal production, hunting and related service activities (01)","Other Taxes less Other Subsidies on Production","Euro Million","-2098"
"Gross Value Added (GVA) at Current Market Prices","2005","Crop and animal production, hunting and related service activities (01)","Gross Value Added (GVA) at Basic Prices","Euro Million","1571"
"Gross Value Added (GVA) at Current Market Prices","2005","Forestry and logging (02)","Compensation of Employees","Euro Million","82"
"Gross Value Added (GVA) at Current Market Prices","2005","Forestry and logging (02)","Net Operating Surplus and Net Mixed Income","Euro Million","42"
"Gross Value Added (GVA) at Current Market Prices","2005","Forestry and logging (02)","Consumption of Fixed Capital","Euro Million","39"
"Gross Value Added (GVA) at Current Market Prices","2005","Forestry and logging (02)","Other Taxes less Other Subsidies on Production","Euro Million","-103"
"Gross Value Added (GVA) at Current Market Prices","2005","Forestry and logging (02)","Gross Value Added (GVA) at Basic Prices","Euro Million","60"
"Gross Value Added (GVA) at Current Market Prices","2005","Fishing and aquaculture (03)","Compensation of Employees","Euro Million","0"
"Gross Value Added (GVA) at Current Market Prices","2005","Fishing and aquaculture (03)","Net Operating Surplus and Net Mixed Income","Euro Million","95"
"Gross Value Added (GVA) at Current Market Prices","2005","Fishing and aquaculture (03)","Consumption of Fixed Capital","Euro Million","30"
"Gross Value Added (GVA) at Current Market Prices","2005","Fishing and aquaculture (03)","Other Taxes less Other Subsidies on Production","Euro Million","3"
"Gross Value Added (GVA) at Current Market Prices","2005","Fishing and aquaculture (03)","Gross Value Added (GVA) at Basic Prices","Euro Million","129"
"Gross Value Added (GVA) at Current Market Prices","2005","Mining and quarrying (05 to 09)","Compensation of Employees","Euro Million","303"
"Gross Value Added (GVA) at Current Market Prices","2005","Mining and quarrying (05 to 09)","Net Operating Surplus and Net Mixed Income","Euro Million","-85"
"Gross Value Added (GVA) at Current Market Prices","2005","Mining and quarrying (05 to 09)","Consumption of Fixed Capital","Euro Million","336"
"Gross Value Added (GVA) at Current Market Prices","2005","Mining and quarrying (05 to 09)","Other Taxes less Other Subsidies on Production","Euro Million","21"
