"Statistic","Year","Type of Crop","UNIT","VALUE"
"Area under Crops","2021","Winter barley","000 Hectares","67.5"
"Area under Crops","2021","Spring barley","000 Hectares","116.4"
"Area under Crops","2021","Beans and peas","000 Hectares","9.7"
"Area under Crops","2021","Oilseed rape","000 Hectares","11.3"
"Area under Crops","2021","Potatoes","000 Hectares","8.9"
"Crop Yield per Hectare","2008","Total wheat, oats and barley","Tonnes","7.7"
"Crop Yield per Hectare","2008","Total wheat","Tonnes","9"
"Crop Yield per Hectare","2008","Winter wheat","Tonnes","9.6"
"Crop Yield per Hectare","2008","Spring wheat","Tonnes","6.6"
"Crop Yield per Hectare","2008","Total oats","Tonnes","7.6"
"Crop Yield per Hectare","2008","Winter oats","Tonnes","7.9"
"Crop Yield per Hectare","2008","Spring oats","Tonnes","6.3"
"Crop Yield per Hectare","2008","Total barley","Tonnes","6.9"
"Crop Yield per Hectare","2008","Winter barley","Tonnes","8.6"
"Crop Yield per Hectare","2008","Spring barley","Tonnes","6.7"
"Crop Yield per Hectare","2008","Beans and peas","Tonnes","4.5"
"Crop Yield per Hectare","2008","Oilseed rape","Tonnes","3.6"
"Crop Yield per Hectare","2008","Potatoes","Tonnes","30.7"
"Crop Yield per Hectare","2009","Total wheat, oats and barley","Tonnes","6.9"
"Crop Yield per Hectare","2009","Total wheat","Tonnes","8.2"
"Crop Yield per Hectare","2009","Winter wheat","Tonnes","8.6"
"Crop Yield per Hectare","2009","Spring wheat","Tonnes","6.8"
"Crop Yield per Hectare","2009","Total oats","Tonnes","7.1"
"Crop Yield per Hectare","2009","Winter oats","Tonnes","7.8"
"Crop Yield per Hectare","2009","Spring oats","Tonnes","6.6"
"Crop Yield per Hectare","2009","Total barley","Tonnes","6.3"
"Crop Yield per Hectare","2009","Winter barley","Tonnes","8.5"
"Crop Yield per Hectare","2009","Spring barley","Tonnes","6.1"
"Crop Yield per Hectare","2009","Beans and peas","Tonnes","5.3"
"Crop Yield per Hectare","2009","Oilseed rape","Tonnes","3.7"
"Crop Yield per Hectare","2009","Potatoes","Tonnes","27.6"
"Crop Yield per Hectare","2010","Total wheat, oats and barley","Tonnes","7.5"
"Crop Yield per Hectare","2010","Total wheat","Tonnes","8.6"
"Crop Yield per Hectare","2010","Winter wheat","Tonnes","8.9"
"Crop Yield per Hectare","2010","Spring wheat","Tonnes","7.6"
"Crop Yield per Hectare","2010","Total oats","Tonnes","7.5"
"Crop Yield per Hectare","2010","Winter oats","Tonnes","7.8"
"Crop Yield per Hectare","2010","Spring oats","Tonnes","7.2"
"Crop Yield per Hectare","2010","Total barley","Tonnes","7"
"Crop Yield per Hectare","2010","Winter barley","Tonnes","8.5"
"Crop Yield per Hectare","2010","Spring barley","Tonnes","6.7"
"Crop Yield per Hectare","2010","Beans and peas","Tonnes","5.5"
"Crop Yield per Hectare","2010","Oilseed rape","Tonnes","3.5"
"Crop Yield per Hectare","2010","Potatoes","Tonnes","34.4"
"Crop Yield per Hectare","2011","Total wheat, oats and barley","Tonnes","8.5"
"Crop Yield per Hectare","2011","Total wheat","Tonnes","9.9"
"Crop Yield per Hectare","2011","Winter wheat","Tonnes","10.2"
"Crop Yield per Hectare","2011","Spring wheat","Tonnes","8.3"
"Crop Yield per Hectare","2011","Total oats","Tonnes","7.9"
"Crop Yield per Hectare","2011","Winter oats","Tonnes","7.8"
"Crop Yield per Hectare","2011","Spring oats","Tonnes","7.9"
"Crop Yield per Hectare","2011","Total barley","Tonnes","7.8"
"Crop Yield per Hectare","2011","Winter barley","Tonnes","9.1"
"Crop Yield per Hectare","2011","Spring barley","Tonnes","7.5"
"Crop Yield per Hectare","2011","Beans and peas","Tonnes","5.7"
"Crop Yield per Hectare","2011","Oilseed rape","Tonnes","4.5"
"Crop Yield per Hectare","2011","Potatoes","Tonnes","34.4"
"Crop Yield per Hectare","2012","Total wheat, oats and barley","Tonnes","6.8"
"Crop Yield per Hectare","2012","Total wheat","Tonnes","7.2"
"Crop Yield per Hectare","2012","Winter wheat","Tonnes","7.4"
"Crop Yield per Hectare","2012","Spring wheat","Tonnes","6.1"
"Crop Yield per Hectare","2012","Total oats","Tonnes","6.6"
"Crop Yield per Hectare","2012","Winter oats","Tonnes","6.9"
"Crop Yield per Hectare","2012","Spring oats","Tonnes","6.4"
"Crop Yield per Hectare","2012","Total barley","Tonnes","6.5"
"Crop Yield per Hectare","2012","Winter barley","Tonnes","7.8"
"Crop Yield per Hectare","2012","Spring barley","Tonnes","6.2"
"Crop Yield per Hectare","2012","Beans and peas","Tonnes","4.8"
"Crop Yield per Hectare","2012","Oilseed rape","Tonnes","3.2"
"Crop Yield per Hectare","2012","Potatoes","Tonnes","25.8"
"Crop Yield per Hectare","2013","Total wheat, oats and barley","Tonnes","7.8"
"Crop Yield per Hectare","2013","Total wheat","Tonnes","9"
"Crop Yield per Hectare","2013","Winter wheat","Tonnes","9.3"
"Crop Yield per Hectare","2013","Spring wheat","Tonnes","8.1"
"Crop Yield per Hectare","2013","Total oats","Tonnes","7.2"
"Crop Yield per Hectare","2013","Winter oats","Tonnes","8.1"
"Crop Yield per Hectare","2013","Spring oats","Tonnes","7"
"Crop Yield per Hectare","2013","Total barley","Tonnes","7.6"
"Crop Yield per Hectare","2013","Winter barley","Tonnes","9.5"
"Crop Yield per Hectare","2013","Spring barley","Tonnes","7.2"
"Crop Yield per Hectare","2013","Beans and peas","Tonnes","5.2"
"Crop Yield per Hectare","2013","Oilseed rape","Tonnes","3.6"
"Crop Yield per Hectare","2013","Potatoes","Tonnes","38.2"
"Crop Yield per Hectare","2014","Total wheat, oats and barley","Tonnes","8.5"
"Crop Yield per Hectare","2014","Total wheat","Tonnes","10"
"Crop Yield per Hectare","2014","Winter wheat","Tonnes","10.2"
"Crop Yield per Hectare","2014","Spring wheat","Tonnes","8.3"
"Crop Yield per Hectare","2014","Total oats","Tonnes","8"
"Crop Yield per Hectare","2014","Winter oats","Tonnes","8.7"
"Crop Yield per Hectare","2014","Spring oats","Tonnes","7.3"
"Crop Yield per Hectare","2014","Total barley","Tonnes","8"
"Crop Yield per Hectare","2014","Winter barley","Tonnes","9.3"
"Crop Yield per Hectare","2014","Spring barley","Tonnes","7.5"
"Crop Yield per Hectare","2014","Beans and peas","Tonnes","5.7"
"Crop Yield per Hectare","2014","Oilseed rape","Tonnes","3.6"
"Crop Yield per Hectare","2014","Potatoes","Tonnes","40.5"
"Crop Yield per Hectare","2015","Total wheat, oats and barley","Tonnes","9"
"Crop Yield per Hectare","2015","Total wheat","Tonnes","10.7"
"Crop Yield per Hectare","2015","Winter wheat","Tonnes","11"
"Crop Yield per Hectare","2015","Spring wheat","Tonnes","8.6"
"Crop Yield per Hectare","2015","Total oats","Tonnes","8.4"
"Crop Yield per Hectare","2015","Winter oats","Tonnes","9.2"
"Crop Yield per Hectare","2015","Spring oats","Tonnes","7.7"
"Crop Yield per Hectare","2015","Total barley","Tonnes","8.6"
"Crop Yield per Hectare","2015","Winter barley","Tonnes","10.2"
"Crop Yield per Hectare","2015","Spring barley","Tonnes","7.7"
"Crop Yield per Hectare","2015","Beans and peas","Tonnes","6.5"
"Crop Yield per Hectare","2015","Oilseed rape","Tonnes","4.5"
"Crop Yield per Hectare","2015","Potatoes","Tonnes","42.3"
"Crop Yield per Hectare","2016","Total wheat, oats and barley","Tonnes","8.2"
"Crop Yield per Hectare","2016","Total wheat","Tonnes","9.5"
"Crop Yield per Hectare","2016","Winter wheat","Tonnes","9.7"
"Crop Yield per Hectare","2016","Spring wheat","Tonnes","8"
"Crop Yield per Hectare","2016","Total oats","Tonnes","7.9"
"Crop Yield per Hectare","2016","Winter oats","Tonnes","8.3"
"Crop Yield per Hectare","2016","Spring oats","Tonnes","7.3"
"Crop Yield per Hectare","2016","Total barley","Tonnes","7.8"
"Crop Yield per Hectare","2016","Winter barley","Tonnes","8.6"
"Crop Yield per Hectare","2016","Spring barley","Tonnes","7.3"
"Crop Yield per Hectare","2016","Beans and peas","Tonnes","5.7"
"Crop Yield per Hectare","2016","Oilseed rape","Tonnes","3.5"
"Crop Yield per Hectare","2016","Potatoes","Tonnes","38.9"
"Crop Yield per Hectare","2017","Total wheat, oats and barley","Tonnes","8.8"
"Crop Yield per Hectare","2017","Total wheat","Tonnes","10.2"
"Crop Yield per Hectare","2017","Winter wheat","Tonnes","10.4"
"Crop Yield per Hectare","2017","Spring wheat","Tonnes","8.2"
"Crop Yield per Hectare","2017","Total oats","Tonnes","8.4"
"Crop Yield per Hectare","2017","Winter oats","Tonnes","8.9"
"Crop Yield per Hectare","2017","Spring oats","Tonnes","7.6"
"Crop Yield per Hectare","2017","Total barley","Tonnes","8.4"
"Crop Yield per Hectare","2017","Winter barley","Tonnes","9.1"
"Crop Yield per Hectare","2017","Spring barley","Tonnes","7.9"
"Crop Yield per Hectare","2017","Beans and peas","Tonnes","6.6"
"Crop Yield per Hectare","2017","Oilseed rape","Tonnes","4.1"
"Crop Yield per Hectare","2017","Potatoes","Tonnes","44.9"
"Crop Yield per Hectare","2018","Total wheat, oats and barley","Tonnes","7.1"
"Crop Yield per Hectare","2018","Total wheat","Tonnes","8.7"
"Crop Yield per Hectare","2018","Winter wheat","Tonnes","8.9"
"Crop Yield per Hectare","2018","Spring wheat","Tonnes","6.2"
"Crop Yield per Hectare","2018","Total oats","Tonnes","6.9"
"Crop Yield per Hectare","2018","Winter oats","Tonnes","7.9"
"Crop Yield per Hectare","2018","Spring oats","Tonnes","5.6"
"Crop Yield per Hectare","2018","Total barley","Tonnes","6.6"
"Crop Yield per Hectare","2018","Winter barley","Tonnes","8.8"
"Crop Yield per Hectare","2018","Spring barley","Tonnes","5.6"
"Crop Yield per Hectare","2018","Beans and peas","Tonnes","2.7"
"Crop Yield per Hectare","2018","Oilseed rape","Tonnes","3.9"
"Crop Yield per Hectare","2018","Potatoes","Tonnes","33.2"
"Crop Yield per Hectare","2019","Total wheat, oats and barley","Tonnes","9"
"Crop Yield per Hectare","2019","Total wheat","Tonnes","10"
"Crop Yield per Hectare","2019","Winter wheat","Tonnes","10.1"
"Crop Yield per Hectare","2019","Spring wheat","Tonnes","8.3"
"Crop Yield per Hectare","2019","Total oats","Tonnes","8.5"
"Crop Yield per Hectare","2019","Winter oats","Tonnes","8.9"
"Crop Yield per Hectare","2019","Spring oats","Tonnes","7.7"
"Crop Yield per Hectare","2019","Total barley","Tonnes","8.7"
"Crop Yield per Hectare","2019","Winter barley","Tonnes","9.4"
"Crop Yield per Hectare","2019","Spring barley","Tonnes","8"
"Crop Yield per Hectare","2019","Beans and peas","Tonnes","5.4"
"Crop Yield per Hectare","2019","Oilseed rape","Tonnes","4.2"
"Crop Yield per Hectare","2019","Potatoes","Tonnes","44.1"
"Crop Yield per Hectare","2020","Total wheat, oats and barley","Tonnes","7.6"
"Crop Yield per Hectare","2020","Total wheat","Tonnes","8.4"
"Crop Yield per Hectare","2020","Winter wheat","Tonnes","8.7"
"Crop Yield per Hectare","2020","Spring wheat","Tonnes","7.4"
"Crop Yield per Hectare","2020","Total oats","Tonnes","7.5"
"Crop Yield per Hectare","2020","Winter oats","Tonnes","8.2"
"Crop Yield per Hectare","2020","Spring oats","Tonnes","7.1"
"Crop Yield per Hectare","2020","Total barley","Tonnes","7.4"
"Crop Yield per Hectare","2020","Winter barley","Tonnes","8.3"
"Crop Yield per Hectare","2020","Spring barley","Tonnes","7.1"
"Crop Yield per Hectare","2020","Beans and peas","Tonnes","4.8"
"Crop Yield per Hectare","2020","Oilseed rape","Tonnes","4.4"
"Crop Yield per Hectare","2020","Potatoes","Tonnes","33.8"
"Crop Yield per Hectare","2021","Total wheat, oats and barley","Tonnes","8.9"
"Crop Yield per Hectare","2021","Total wheat","Tonnes","10.6"
"Crop Yield per Hectare","2021","Winter wheat","Tonnes","10.8"
"Crop Yield per Hectare","2021","Spring wheat","Tonnes","8.7"
"Crop Yield per Hectare","2021","Total oats","Tonnes","8.4"
"Crop Yield per Hectare","2021","Winter oats","Tonnes","9.1"
"Crop Yield per Hectare","2021","Spring oats","Tonnes","7.7"
"Crop Yield per Hectare","2021","Total barley","Tonnes","8.5"
"Crop Yield per Hectare","2021","Winter barley","Tonnes","9.5"
"Crop Yield per Hectare","2021","Spring barley","Tonnes","7.9"
"Crop Yield per Hectare","2021","Beans and peas","Tonnes","5.6"
"Crop Yield per Hectare","2021","Oilseed rape","Tonnes","4.6"
"Crop Yield per Hectare","2021","Potatoes","Tonnes","45.6"
"Crop Production","2008","Total wheat, oats and barley","000 Tonnes","2461.3"
"Crop Production","2008","Total wheat","000 Tonnes","992.8"
"Crop Production","2008","Winter wheat","000 Tonnes","839.9"
"Crop Production","2008","Spring wheat","000 Tonnes","153"
"Crop Production","2008","Total oats","000 Tonnes","174.3"
"Crop Production","2008","Winter oats","000 Tonnes","147.9"
"Crop Production","2008","Spring oats","000 Tonnes","26.4"
"Crop Production","2008","Total barley","000 Tonnes","1294.1"
"Crop Production","2008","Winter barley","000 Tonnes","181.8"
"Crop Production","2008","Spring barley","000 Tonnes","1112.4"
"Crop Production","2008","Beans and peas","000 Tonnes","11.1"
"Crop Production","2008","Oilseed rape","000 Tonnes","20.3"
"Crop Production","2008","Potatoes","000 Tonnes","344.9"
"Crop Production","2009","Total wheat, oats and barley","000 Tonnes","2063"
"Crop Production","2009","Total wheat","000 Tonnes","690.1"
"Crop Production","2009","Winter wheat","000 Tonnes","552.7"
"Crop Production","2009","Spring wheat","000 Tonnes","137.4"
"Crop Production","2009","Total oats","000 Tonnes","145.7"
"Crop Production","2009","Winter oats","000 Tonnes","71.3"
"Crop Production","2009","Spring oats","000 Tonnes","74.4"
"Crop Production","2009","Total barley","000 Tonnes","1227.3"
"Crop Production","2009","Winter barley","000 Tonnes","164.2"
"Crop Production","2009","Spring barley","000 Tonnes","1063.1"
"Crop Production","2009","Beans and peas","000 Tonnes","22.2"
"Crop Production","2009","Oilseed rape","000 Tonnes","23.7"
"Crop Production","2009","Potatoes","000 Tonnes","336.1"
"Crop Production","2010","Total wheat, oats and barley","000 Tonnes","2040.3"
"Crop Production","2010","Total wheat","000 Tonnes","669.2"
"Crop Production","2010","Winter wheat","000 Tonnes","532"
"Crop Production","2010","Spring wheat","000 Tonnes","137.2"
"Crop Production","2010","Total oats","000 Tonnes","148.1"
"Crop Production","2010","Winter oats","000 Tonnes","80.5"
"Crop Production","2010","Spring oats","000 Tonnes","67.6"
"Crop Production","2010","Total barley","000 Tonnes","1223.1"
"Crop Production","2010","Winter barley","000 Tonnes","245.1"
"Crop Production","2010","Spring barley","000 Tonnes","977.9"
"Crop Production","2010","Beans and peas","000 Tonnes","25"
"Crop Production","2010","Oilseed rape","000 Tonnes","28.1"
"Crop Production","2010","Potatoes","000 Tonnes","419.6"
"Crop Production","2011","Total wheat, oats and barley","000 Tonnes","2509.4"
"Crop Production","2011","Total wheat","000 Tonnes","929.2"
"Crop Production","2011","Winter wheat","000 Tonnes","792.9"
"Crop Production","2011","Spring wheat","000 Tonnes","136.4"
"Crop Production","2011","Total oats","000 Tonnes","168.1"
"Crop Production","2011","Winter oats","000 Tonnes","70.5"
"Crop Production","2011","Spring oats","000 Tonnes","97.6"
"Crop Production","2011","Total barley","000 Tonnes","1412"
"Crop Production","2011","Winter barley","000 Tonnes","326.3"
"Crop Production","2011","Spring barley","000 Tonnes","1085.8"
"Crop Production","2011","Beans and peas","000 Tonnes","16.5"
"Crop Production","2011","Oilseed rape","000 Tonnes","55.9"
"Crop Production","2011","Potatoes","000 Tonnes","356.1"
"Crop Production","2012","Total wheat, oats and barley","000 Tonnes","2125.1"
"Crop Production","2012","Total wheat","000 Tonnes","707.9"
"Crop Production","2012","Winter wheat","000 Tonnes","625.7"
"Crop Production","2012","Spring wheat","000 Tonnes","82.2"
"Crop Production","2012","Total oats","000 Tonnes","156.5"
"Crop Production","2012","Winter oats","000 Tonnes","68.2"
"Crop Production","2012","Spring oats","000 Tonnes","88.4"
"Crop Production","2012","Total barley","000 Tonnes","1260.7"
"Crop Production","2012","Winter barley","000 Tonnes","319.8"
"Crop Production","2012","Spring barley","000 Tonnes","940.9"
"Crop Production","2012","Beans and peas","000 Tonnes","19.7"
"Crop Production","2012","Oilseed rape","000 Tonnes","58.7"
"Crop Production","2012","Potatoes","000 Tonnes","232"
"Crop Production","2013","Total wheat, oats and barley","000 Tonnes","2400.6"
"Crop Production","2013","Total wheat","000 Tonnes","545.3"
"Crop Production","2013","Winter wheat","000 Tonnes","422.1"
"Crop Production","2013","Spring wheat","000 Tonnes","123.3"
"Crop Production","2013","Total oats","000 Tonnes","192.5"
"Crop Production","2013","Winter oats","000 Tonnes","43.4"
"Crop Production","2013","Spring oats","000 Tonnes","149.1"
"Crop Production","2013","Total barley","000 Tonnes","1662.8"
"Crop Production","2013","Winter barley","000 Tonnes","341.8"
"Crop Production","2013","Spring barley","000 Tonnes","1320.9"
"Crop Production","2013","Beans and peas","000 Tonnes","23.3"
"Crop Production","2013","Oilseed rape","000 Tonnes","49.2"
"Crop Production","2013","Potatoes","000 Tonnes","410.1"
"Crop Production","2014","Total wheat, oats and barley","000 Tonnes","2597.8"
"Crop Production","2014","Total wheat","000 Tonnes","717"
"Crop Production","2014","Winter wheat","000 Tonnes","663.4"
"Crop Production","2014","Spring wheat","000 Tonnes","53.6"
