DATAFLOW,LAST UPDATE,freq,unit,agriprod,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:APRI_LPRC(1.0),11/03/22 23:00:00,A,EUR_HA,ARA,BG4,2012,1534,
ESTAT:APRI_LPRC(1.0),11/03/22 23:00:00,A,EUR_HA,ARA,BG4,2013,1754,
ESTAT:APRI_LPRC(1.0),11/03/22 23:00:00,A,EUR_HA,ARA,BG4,2014,2239,
ESTAT:APRI_LPRC(1.0),11/03/22 23:00:00,A,EUR_HA,ARA,BG4,2015,2158,
ESTAT:APRI_LPRC(1.0),11/03/22 23:00:00,A,EUR_HA,ARA,BG4,2016,1866,
ESTAT:APRI_LPRC(1.0),11/03/22 23:00:00,A,EUR_HA,ARA,BG4,2017,2383,
ESTAT:APRI_LPRC(1.0),11/03/22 23:00:00,A,EUR_HA,ARA,BG4,2018,3170,
ESTAT:APRI_LPRC(1.0),11/03/22 23:00:00,A,EUR_HA,ARA,BG4,2019,3786,
ESTAT:APRI_LPRC(1.0),11/03/22 23:00:00,A,EUR_HA,ARA,BG4,2020,2905,
ESTAT:APRI_LPRC(1.0),11/03/22 23:00:00,A,EUR_HA,ARA,BG41,2011,1196,
ESTAT:APRI_LPRC(1.0),11/03/22 23:00:00,A,EUR_HA,ARA,BG41,2012,1355,
ESTAT:APRI_LPRC(1.0),11/03/22 23:00:00,A,EUR_HA,ARA,BG41,2013,1585,
ESTAT:APRI_LPRC(1.0),11/03/22 23:00:00,A,EUR_HA,ARA,BG41,2014,1692,
ESTAT:APRI_LPRC(1.0),11/03/22 23:00:00,A,EUR_HA,ARA,BG41,2015,1825,
ESTAT:APRI_LPRC(1.0),11/03/22 23:00:00,A,EUR_HA,ARA,BG41,2016,1166,
ESTAT:APRI_LPRC(1.0),11/03/22 23:00:00,A,EUR_HA,ARA,BG41,2017,1549,
ESTAT:APRI_LPRC(1.0),11/03/22 23:00:00,A,EUR_HA,ARA,BG41,2018,1017,
ESTAT:APRI_LPRC(1.0),11/03/22 23:00:00,A,EUR_HA,ARA,BG41,2019,4182,
ESTAT:APRI_LPRC(1.0),11/03/22 23:00:00,A,EUR_HA,ARA,BG41,2020,2051,
ESTAT:APRI_LPRC(1.0),11/03/22 23:00:00,A,EUR_HA,ARA,BG42,2011,1498,
ESTAT:APRI_LPRC(1.0),11/03/22 23:00:00,A,EUR_HA,ARA,BG42,2012,1590,
ESTAT:APRI_LPRC(1.0),11/03/22 23:00:00,A,EUR_HA,ARA,BG42,2013,1815,
ESTAT:APRI_LPRC(1.0),11/03/22 23:00:00,A,EUR_HA,ARA,BG42,2014,2439,
ESTAT:APRI_LPRC(1.0),11/03/22 23:00:00,A,EUR_HA,ARA,BG42,2015,2275,
ESTAT:APRI_LPRC(1.0),11/03/22 23:00:00,A,EUR_HA,ARA,BG42,2016,2178,
ESTAT:APRI_LPRC(1.0),11/03/22 23:00:00,A,EUR_HA,ARA,BG42,2017,2756,
ESTAT:APRI_LPRC(1.0),11/03/22 23:00:00,A,EUR_HA,ARA,BG42,2018,3482,
ESTAT:APRI_LPRC(1.0),11/03/22 23:00:00,A,EUR_HA,ARA,BG42,2019,3607,
ESTAT:APRI_LPRC(1.0),11/03/22 23:00:00,A,EUR_HA,ARA,BG42,2020,3288,
ESTAT:APRI_LPRC(1.0),11/03/22 23:00:00,A,EUR_HA,ARA,CZ,2011,1836,
ESTAT:APRI_LPRC(1.0),11/03/22 23:00:00,A,EUR_HA,ARA,CZ,2012,3264,
ESTAT:APRI_LPRC(1.0),11/03/22 23:00:00,A,EUR_HA,ARA,CZ,2013,3662,
ESTAT:APRI_LPRC(1.0),11/03/22 23:00:00,A,EUR_HA,ARA,CZ,2014,4282,
ESTAT:APRI_LPRC(1.0),11/03/22 23:00:00,A,EUR_HA,ARA,CZ,2015,4775,
ESTAT:APRI_LPRC(1.0),11/03/22 23:00:00,A,EUR_HA,ARA,CZ,2016,5463,
ESTAT:APRI_LPRC(1.0),11/03/22 23:00:00,A,EUR_HA,ARA,CZ,2017,6448,
ESTAT:APRI_LPRC(1.0),11/03/22 23:00:00,A,EUR_HA,ARA,CZ,2018,7600,b
ESTAT:APRI_LPRC(1.0),11/03/22 23:00:00,A,EUR_HA,ARA,CZ,2019,8561,
ESTAT:APRI_LPRC(1.0),11/03/22 23:00:00,A,EUR_HA,ARA,CZ,2020,9477,
ESTAT:APRI_LPRC(1.0),11/03/22 23:00:00,A,EUR_HA,ARA,CZ0,2011,1836,
ESTAT:APRI_LPRC(1.0),11/03/22 23:00:00,A,EUR_HA,ARA,CZ0,2012,3264,
ESTAT:APRI_LPRC(1.0),11/03/22 23:00:00,A,EUR_HA,ARA,CZ0,2013,3662,
ESTAT:APRI_LPRC(1.0),11/03/22 23:00:00,A,EUR_HA,ARA,CZ0,2014,4282,
ESTAT:APRI_LPRC(1.0),11/03/22 23:00:00,A,EUR_HA,ARA,CZ0,2015,4775,
ESTAT:APRI_LPRC(1.0),11/03/22 23:00:00,A,EUR_HA,ARA,CZ0,2016,5463,
